date,symbol,type,entry,sl_pts,tp_pts,atr_sl,outcome,pnl_r,equity,reasons
2026-01-29 19:30:00,US30,SELL,48922.24,90.2,270.6,180.4,LOSS,-12.58,6225.83,bear_trend|below_vwap|orb_bear
2026-01-30 15:30:00,US30,SELL,48622.02,102.1,306.3,204.2,LOSS,-12.45,6163.57,bear_trend|below_vwap|orb_bear
2026-01-30 16:30:00,US30,SELL,48658.9,105.5,316.6,211.1,LOSS,-12.33,6101.93,bear_trend|below_vwap|orb_bear
2026-01-30 17:30:00,US30,SELL,48622.02,111.9,335.6,223.8,LOSS,-12.2,6040.91,bear_trend|below_vwap|orb_bear
2026-01-30 18:30:00,US30,SELL,48801.45,121.7,365.2,243.4,WIN,36.25,6222.14,bear_trend|below_vwap|orb_bear
2026-02-02 15:30:00,US30,BUY,49340.39,118.9,356.8,237.8,LOSS,-12.44,6159.92,above_vwap|orb_bull|bos_bull
2026-02-02 16:30:00,US30,BUY,49372.7,114.9,344.7,229.8,LOSS,-12.32,6098.32,above_vwap|orb_bull
2026-02-02 17:30:00,US30,BUY,49337.41,109.1,327.4,218.3,LOSS,-12.2,6037.34,above_vwap|orb_bull
2026-02-02 18:30:00,US30,BUY,49433.22,106.9,320.6,213.8,LOSS,-12.07,5976.96,bull_trend|above_vwap|orb_bull|bos_bull
2026-02-02 19:30:00,US30,BUY,49410.0,106.4,319.1,212.7,WIN,35.86,6156.27,bull_trend|above_vwap|orb_bull
2026-02-03 15:30:00,US30,BUY,49366.35,98.6,295.8,197.2,LOSS,-12.31,6094.71,bull_trend|above_vwap
2026-02-03 16:30:00,US30,BUY,49183.56,99.8,299.5,199.6,LOSS,-12.19,6033.76,bull_trend|above_vwap
2026-02-03 19:30:00,US30,BUY,49150.24,95.0,285.0,190.0,LOSS,-12.07,5973.42,bull_trend|above_vwap
2026-02-04 15:30:00,US30,BUY,49636.11,89.7,269.0,179.4,LOSS,-11.95,5913.69,bull_trend|above_vwap|orb_bull
2026-02-04 16:30:00,US30,BUY,49371.25,96.1,288.2,192.1,LOSS,-11.83,5854.55,bull_trend|above_vwap
2026-02-04 17:30:00,US30,BUY,49265.66,103.8,311.4,207.6,LOSS,-11.71,5796.01,bull_trend|above_vwap
2026-02-04 18:30:00,US30,BUY,49346.58,107.1,321.2,214.2,LOSS,-11.59,5738.05,bull_trend|above_vwap
2026-02-04 19:30:00,US30,BUY,49551.29,112.3,337.0,224.7,WIN,34.43,5910.19,bull_trend|above_vwap
2026-02-06 15:30:00,US30,BUY,49766.58,146.5,439.6,293.0,LOSS,-11.82,5851.09,bull_trend|above_vwap|orb_bull
2026-02-06 16:30:00,US30,BUY,49876.45,141.3,423.8,282.5,LOSS,-11.7,5792.58,bull_trend|above_vwap|orb_bull|bos_bull
2026-02-06 17:30:00,US30,BUY,49936.58,135.1,405.2,270.1,WIN,34.76,5966.35,bull_trend|above_vwap|orb_bull|bos_bull
2026-02-06 18:30:00,US30,BUY,50009.31,130.9,392.6,261.7,WIN,35.8,6145.34,bull_trend|above_vwap|orb_bull|bos_bull
2026-02-06 19:30:00,US30,BUY,50024.34,124.8,374.5,249.7,LOSS,-12.29,6083.89,bull_trend|above_vwap|orb_bull|bos_bull
2026-02-09 15:30:00,US30,BUY,50096.62,109.5,328.5,219.0,WIN,36.5,6266.41,bull_trend|above_vwap|orb_bull
2026-02-09 16:30:00,US30,BUY,50107.98,104.1,312.4,208.3,WIN,37.6,6454.4,bull_trend|above_vwap
2026-02-09 17:30:00,US30,BUY,50084.3,98.1,294.3,196.2,WIN,38.73,6648.03,bull_trend|above_vwap
2026-02-09 18:30:00,US30,BUY,50171.06,93.7,281.0,187.3,WIN,39.89,6847.47,bull_trend|above_vwap
2026-02-09 19:30:00,US30,BUY,50138.96,90.4,271.1,180.7,WIN,41.08,7052.9,bull_trend|above_vwap
2026-02-10 15:30:00,US30,BUY,50333.21,73.0,219.0,146.0,LOSS,-14.11,6982.37,bull_trend|above_vwap
2026-02-10 16:30:00,US30,BUY,50391.21,72.4,217.1,144.7,WIN,41.89,7191.84,bull_trend|above_vwap
2026-02-10 17:30:00,US30,BUY,50192.5,74.9,224.8,149.9,LOSS,-14.38,7119.92,bull_trend|above_vwap
2026-02-10 18:30:00,US30,BUY,50230.3,76.3,228.9,152.6,LOSS,-14.24,7048.72,bull_trend|above_vwap
2026-02-10 19:30:00,US30,BUY,50240.06,75.9,227.8,151.9,WIN,42.29,7260.18,bull_trend|above_vwap
2026-02-11 16:30:00,US30,BUY,50196.28,92.3,276.8,184.5,WIN,43.56,7477.99,bull_trend|above_vwap
2026-02-13 19:30:00,US30,SELL,49404.44,126.3,378.8,252.5,LOSS,-14.96,7403.21,bear_trend|below_vwap|orb_bear
2026-02-17 15:30:00,US30,SELL,49537.92,127.5,382.5,255.0,WIN,44.42,7625.31,bear_trend|below_vwap|orb_bear
2026-02-17 16:30:00,US30,SELL,49542.71,126.3,378.9,252.6,WIN,45.75,7854.06,bear_trend|below_vwap|orb_bear
2026-02-17 17:30:00,US30,SELL,49519.02,126.8,380.3,253.5,LOSS,-15.71,7775.52,bear_trend|below_vwap|orb_bear
2026-02-17 18:30:00,US30,SELL,49602.33,124.2,372.6,248.4,LOSS,-15.55,7697.77,bear_trend|below_vwap|orb_bear
2026-02-18 15:30:00,US30,BUY,49808.08,111.6,334.8,223.2,LOSS,-15.4,7620.79,above_vwap
2026-02-18 16:30:00,US30,BUY,49840.41,108.6,325.8,217.2,WIN,45.72,7849.41,above_vwap
2026-02-18 17:30:00,US30,BUY,49770.68,107.5,322.4,215.0,LOSS,-15.7,7770.92,above_vwap
2026-02-18 19:30:00,US30,SELL,49545.72,105.9,317.7,211.8,LOSS,-15.54,7693.21,bear_trend|below_vwap|orb_bear
2026-02-19 15:30:00,US30,SELL,49396.71,90.2,270.7,180.5,LOSS,-15.39,7616.28,bear_trend|below_vwap|orb_bear
2026-02-19 16:30:00,US30,SELL,49404.44,90.2,270.7,180.5,LOSS,-15.23,7540.12,bear_trend|below_vwap|orb_bear
2026-02-19 17:30:00,US30,SELL,49238.66,90.3,271.0,180.6,WIN,45.24,7766.32,bear_trend|below_vwap|orb_bear
2026-02-19 18:30:00,US30,SELL,49332.05,89.6,268.7,179.2,WIN,46.6,7999.31,bear_trend|below_vwap|orb_bear
2026-02-19 19:30:00,US30,SELL,49326.73,90.4,271.1,180.8,LOSS,-16.0,7919.32,bear_trend|below_vwap|orb_bear
2026-02-20 16:30:00,US30,SELL,49261.86,104.9,314.7,209.8,WIN,47.52,8156.9,bear_trend|below_vwap|orb_bear
2026-02-20 17:30:00,US30,SELL,49376.12,107.9,323.6,215.8,WIN,48.94,8401.6,bear_trend|below_vwap|orb_bear
2026-02-20 18:30:00,US30,BUY,49550.03,111.9,335.6,223.7,LOSS,-16.8,8317.59,above_vwap
2026-02-20 19:30:00,US30,BUY,49582.2,110.3,331.0,220.7,LOSS,-16.64,8234.41,above_vwap
2026-02-23 15:30:00,US30,SELL,48937.52,124.1,372.4,248.3,LOSS,-16.47,8152.07,bear_trend|below_vwap|orb_bear
2026-02-23 16:30:00,US30,SELL,48821.69,122.9,368.6,245.7,LOSS,-16.3,8070.55,bear_trend|below_vwap|orb_bear
2026-02-23 17:30:00,US30,SELL,48996.81,123.3,369.8,246.5,LOSS,-16.14,7989.84,bear_trend|below_vwap|orb_bear
2026-02-23 18:30:00,US30,SELL,48775.05,125.8,377.3,251.6,WIN,47.94,8229.54,bear_trend|below_vwap|orb_bear
2026-02-23 19:30:00,US30,SELL,48803.63,124.5,373.6,249.1,LOSS,-16.46,8147.24,bear_trend|below_vwap|orb_bear
2026-02-24 15:30:00,US30,SELL,49162.89,122.2,366.6,244.4,LOSS,-16.29,8065.77,bear_trend|below_vwap
2026-02-24 19:30:00,US30,SELL,49145.88,105.8,317.4,211.6,WIN,48.39,8307.74,bear_trend|below_vwap
2026-02-25 15:30:00,US30,BUY,49362.81,86.2,258.5,172.3,LOSS,-16.62,8224.66,above_vwap
2026-02-25 16:30:00,US30,BUY,49406.59,84.7,254.2,169.5,LOSS,-16.45,8142.42,above_vwap
2026-02-25 17:30:00,US30,BUY,49461.04,80.1,240.3,160.2,LOSS,-16.28,8060.99,above_vwap|orb_bull
2026-02-25 18:30:00,US30,BUY,49438.02,73.4,220.3,146.9,WIN,48.37,8302.82,above_vwap
2026-02-25 19:30:00,US30,BUY,49471.42,72.6,217.9,145.3,WIN,49.82,8551.91,above_vwap
2026-02-26 15:30:00,US30,BUY,49506.1,80.2,240.5,160.4,LOSS,-17.1,8466.39,above_vwap
2026-02-26 16:30:00,US30,SELL,49296.72,83.0,249.1,166.0,WIN,50.8,8720.38,bear_trend|above_vwap|orb_bear
2026-02-26 18:30:00,US30,BUY,49480.86,87.6,262.8,175.2,WIN,52.32,8981.99,above_vwap
2026-02-26 19:30:00,US30,BUY,49504.71,87.3,261.8,174.5,WIN,53.89,9251.45,above_vwap
2026-02-27 15:30:00,US30,SELL,49000.95,107.4,322.2,214.8,LOSS,-18.5,9158.94,bear_trend|below_vwap|orb_bear
2026-02-27 16:30:00,US30,SELL,48735.84,114.9,344.6,229.7,LOSS,-18.32,9067.35,bear_trend|below_vwap|orb_bear
2026-02-27 17:30:00,US30,SELL,48842.35,117.1,351.4,234.3,LOSS,-18.13,8976.67,bear_trend|below_vwap|orb_bear
2026-02-27 18:30:00,US30,SELL,48797.98,119.6,358.9,239.3,WIN,53.86,9245.97,bear_trend|below_vwap|orb_bear
2026-02-27 19:30:00,US30,SELL,48920.4,124.9,374.7,249.8,WIN,55.48,9523.35,bear_trend|below_vwap|orb_bear
2026-03-02 15:30:00,US30,SELL,48706.55,125.6,376.8,251.2,LOSS,-19.05,9428.12,bear_trend|below_vwap|orb_bear
2026-03-02 16:30:00,US30,SELL,48911.32,128.5,385.4,256.9,LOSS,-18.86,9333.84,bear_trend|below_vwap|orb_bear
2026-03-02 17:30:00,US30,SELL,48947.65,128.0,384.0,256.0,LOSS,-18.67,9240.5,bear_trend|below_vwap|orb_bear
2026-03-02 18:30:00,US30,SELL,49026.08,127.3,381.8,254.5,LOSS,-18.48,9148.1,bear_trend|below_vwap|orb_bear
2026-03-02 19:30:00,US30,SELL,48826.86,134.9,404.7,269.8,LOSS,-18.3,9056.61,bear_trend|below_vwap|orb_bear
2026-03-03 15:30:00,US30,SELL,48077.91,160.9,482.7,321.8,WIN,54.34,9328.31,bear_trend|below_vwap|orb_bear
